“	``
be	VB
so	RB
mean	JJ
if	IN
you	PRP
want	VBP
to	TO
!	.
i	PRP
know	VBP
something	NN
that	WDT
's	VBZ
going	VBG
to	TO
happen	VB
.	.
you	PRP
just	RB
wait	VBP
and	CC
you	PRP
will	MD
see	VB
!	.
hateful	JJ
,	,
hateful	JJ
,	,
hateful	JJ
!	.
”	''
and	CC
she	PRP
flung	VBD
out	IN
of	IN
the	DT
house	NN
with	IN
a	DT
new	JJ
explosion	NN
of	IN
crying	NN
.	.
tom	NNP
stood	VBD
still	JJ
,	,
rather	RB
flustered	JJ
by	IN
this	DT
onslaught	NN
.	.
presently	RB
he	PRP
said	VBD
to	IN
himself	PRP
tom	NNP
took	VBD
his	PRP$
whipping	NN
and	CC
went	VBD
back	RB
to	IN
his	PRP$
seat	NN
not	RB
at	RB
all	RB
broken	JJ
-	HYPH
hearted	JJ
,	,
for	IN
he	PRP
thought	VBD
it	PRP
was	VBD
possible	JJ
that	IN
he	PRP
had	VBD
unknowingly	RB
upset	VBN
the	DT
ink	NN
on	IN
the	DT
spelling	NN
-	HYPH
book	NN
himself	PRP
,	,
in	IN
some	DT
skylarking	NN
bout	NN
he	PRP
had	VBD
denied	VBN
it	PRP
for	IN
form	NN
's	POS
sake	NN
and	CC
because	IN
it	PRP
was	VBD
custom	NN
,	,
and	CC
had	VBD
stuck	VBN
to	IN
the	DT
denial	NN
from	IN
principle	NN
.	.
a	DT
whole	JJ
hour	NN
drifted	VBD
by	RB
,	,
the	DT
master	NN
sat	VBD
nodding	VBG
in	IN
his	PRP$
throne	NN
,	,
the	DT
air	NN
was	VBD
drowsy	JJ
with	IN
the	DT
hum	NN
of	IN
study	NN
.	.
by	IN
and	CC
by	RB
,	,
mr	NNP
.	NNP
dobbins	NNP
straightened	VBD
himself	PRP
up	RP
,	,
yawned	VBD
,	,
then	RB
unlocked	VBD
his	PRP$
desk	NN
,	,
and	CC
reached	VBD
for	IN
his	PRP$
book	NN
,	,
but	CC
seemed	VBD
undecided	JJ
whether	IN
to	TO
take	VB
it	PRP
out	RP
or	CC
leave	VB
it	PRP
.	.
most	JJS
of	IN
the	DT
pupils	NNS
glanced	VBD
up	RP
languidly	RB
,	,
but	CC
there	EX
were	VBD
two	CD
among	IN
them	PRP
that	WDT
watched	VBD
his	PRP$
movements	NNS
with	IN
intent	JJ
eyes	NNS
.	.
mr	NNP
.	NNP
dobbins	NNP
fingered	VBD
his	PRP$
book	NN
absently	RB
for	IN
a	DT
while	NN
,	,
then	RB
took	VBD
it	PRP
out	RP
and	CC
settled	VBD
himself	PRP
in	IN
his	PRP$
chair	NN
to	TO
read	VB
!	.
tom	NNP
shot	VBD
a	DT
glance	NN
at	IN
becky	NNP
.	.
he	PRP
had	VBD
seen	VBN
a	DT
hunted	JJ
and	CC
helpless	JJ
rabbit	NN
look	VB
as	IN
she	PRP
did	VBD
,	,
with	IN
a	DT
gun	NN
levelled	VBN
at	IN
its	PRP$
head	NN
.	.
instantly	RB
he	PRP
forgot	VBD
his	PRP$
quarrel	NN
with	IN
her	PRP
.	.
quick	JJ
something	NN
must	MD
be	VB
done	VBN
!	.
done	VBN
in	IN
a	DT
flash	NN
,	,
too	RB
!	.
but	CC
the	DT
very	JJ
imminence	NN
of	IN
the	DT
emergency	NN
paralyzed	VBD
his	PRP$
invention	NN
.	.
good	JJ
!	.
he	PRP
had	VBD
an	DT
inspiration	NN
!	.
he	PRP
would	MD
run	VB
and	CC
snatch	VB
the	DT
book	NN
,	,
spring	VB
through	IN
the	DT
door	NN
and	CC
fly	VB
.	.
but	CC
his	PRP$
resolution	NN
shook	VBD
for	IN
one	CD
little	JJ
instant	NN
,	,
and	CC
the	DT
chance	NN
was	VBD
lost	VBN
the	DT
master	NN
opened	VBD
the	DT
volume	NN
.	.
if	IN
tom	NNP
only	RB
had	VBD
the	DT
wasted	VBN
opportunity	NN
back	RB
again	RB
!	.
too	RB
late	RB
.	.
there	EX
was	VBD
no	DT
help	NN
for	IN
becky	NNP
now	RB
,	,
he	PRP
said	VBD
.	.
the	DT
next	JJ
moment	NN
the	DT
master	NN
faced	VBD
the	DT
school	NN
.	.
every	DT
eye	NN
sank	VBD
under	IN
his	PRP$
gaze	NN
.	.
there	EX
was	VBD
that	DT
in	IN
it	PRP
which	WDT
smote	VBD
even	RB
the	DT
innocent	JJ
with	IN
fear	NN
.	.
there	EX
was	VBD
silence	NN
while	IN
one	PRP
might	MD
count	VB
ten	CD
the	DT
master	NN
was	VBD
gathering	VBG
his	PRP$
wrath	NN
.	.
then	RB
he	PRP
spoke	VBD
“	``
who	WP
tore	VBD
this	DT
book	NN
?	.
”	''
there	EX
was	VBD
not	RB
a	DT
sound	NN
.	.
one	PRP
could	MD
have	VB
heard	VBN
a	DT
pin	NN
drop	NN
.	.
the	DT
stillness	NN
continued	VBD
;	:
the	DT
master	NN
searched	VBD
face	NN
after	IN
face	NN
for	IN
signs	NNS
of	IN
guilt	NN
.	.
“	``
benjamin	NNP
rogers	NNP
,	,
did	VBD
you	PRP
tear	VB
this	DT
book	NN
?	.
”	''
a	DT
denial	NN
.	.
another	DT
pause	NN
.	.
“	``
joseph	NNP
harper	NNP
,	,
did	VBD
you	PRP
?	.
”	''
another	DT
denial	NN
.	.
tom	NNP
's	POS
uneasiness	NN
grew	VBD
more	RBR
and	CC
more	RBR
intense	JJ
under	IN
the	DT
slow	JJ
torture	NN
of	IN
these	DT
proceedings	NNS
.	.
the	DT
master	NN
scanned	VBD
the	DT
ranks	NNS
of	IN
boys	NNS
considered	VBD
a	DT
while	NN
,	,
then	RB
turned	VBD
to	IN
the	DT
girls	NNS
“	``
amy	NNP
lawrence	NNP
?	.
”	''
a	DT
shake	NN
of	IN
the	DT
head	NN
.	.
“	``
gracie	NNP
miller	NNP
?	.
”	''
the	DT
same	JJ
sign	NN
.	.
“	``
susan	NNP
harper	NNP
,	,
did	VBD
you	PRP
do	VB
this	DT
?	.
”	''
another	DT
negative	NN
.	.
the	DT
next	JJ
girl	NN
was	VBD
becky	NNP
thatcher	NNP
.	.
tom	NNP
was	VBD
trembling	VBG
from	IN
head	NN
to	IN
foot	NN
with	IN
excitement	NN
and	CC
a	DT
sense	NN
of	IN
the	DT
hopelessness	NN
of	IN
the	DT
situation	NN
.	.
“	``
rebecca	NNP
thatcher	NNP
”	''
[	-LRB-
tom	NNP
glanced	VBD
at	IN
her	PRP$
face	NN
it	PRP
was	VBD
white	JJ
with	IN
terror	NN
]	XX
“	``
did	VBD
you	PRP
tear	VB
no	UH
,	,
look	VB
me	PRP
in	IN
the	DT
face	NN
”	''
[	-LRB-
her	PRP$
hands	NNS
rose	VBD
in	IN
appeal	NN
]	XX
“	``
did	VBD
you	PRP
tear	VB
this	DT
book	NN
?	.
”	''
a	DT
thought	NN
shot	VBD
like	IN
lightning	NN
through	IN
tom	NNP
's	POS
brain	NN
.	.
he	PRP
sprang	VBD
to	IN
his	PRP$
feet	NNS
and	CC
shouted	VBD
“	``
i	PRP
done	VBN
it	PRP
!	.
”	''
tom	NNP
went	VBD
to	IN
bed	NN
that	DT
night	NN
planning	VBG
vengeance	NN
against	IN
alfred	NNP
temple	NNP
;	:
for	IN
with	IN
shame	NN
and	CC
repentance	NN
becky	NNP
had	VBD
told	VBN
him	PRP
all	DT
,	,
not	RB
forgetting	VBG
her	PRP$
own	JJ
treachery	NN
;	:
but	CC
even	RB
the	DT
longing	NN
for	IN
vengeance	NN
had	VBD
to	TO
give	VB
way	NN
,	,
soon	RB
,	,
to	IN
pleasanter	JJR
musings	NNS
,	,
and	CC
he	PRP
fell	VBD
asleep	RB
at	IN
last	RB
with	IN
becky	NNP
's	POS
latest	JJS
words	NNS
lingering	VBG
dreamily	RB
in	IN
his	PRP$
ear	NN
“	``
tom	NNP
,	,
how	WRB
could	MD
you	PRP
be	VB
so	RB
noble	JJ
!	.
”	''
chapter	NNP
xxi	NNP
they	PRP
swore	VBD
in	IN
the	DT
signpainter	NN
's	POS
boy	NN
,	,
told	VBD
him	PRP
the	DT
scheme	NN
,	,
and	CC
asked	VBD
his	PRP$
help	NN
.	.
he	PRP
had	VBD
his	PRP$
own	JJ
reasons	NNS
for	IN
being	VBG
delighted	VBN
,	,
for	IN
the	DT
master	NN
boarded	VBD
in	IN
his	PRP$
father	NN
's	POS
family	NN
and	CC
had	VBD
given	VBN
the	DT
boy	NN
ample	JJ
cause	NN
to	TO
hate	VB
him	PRP
.	.
the	DT
master	NN
's	POS
wife	NN
would	MD
go	VB
on	IN
a	DT
visit	NN
to	IN
the	DT
country	NN
in	IN
a	DT
few	JJ
days	NNS
,	,
and	CC
there	EX
would	MD
be	VB
nothing	NN
to	TO
interfere	VB
with	IN
the	DT
plan	NN
;	:
the	DT
master	NN
always	RB
prepared	VBD
himself	PRP
for	IN
great	JJ
occasions	NNS
by	IN
getting	VBG
pretty	RB
well	RB
fuddled	VBN
,	,
and	CC
the	DT
signpainter	NN
's	POS
boy	NN
said	VBD
that	IN
when	WRB
the	DT
dominie	NN
had	VBD
reached	VBN
the	DT
proper	JJ
condition	NN
on	IN
examination	NN
evening	NN
he	PRP
would	MD
“	``
manage	VB
the	DT
thing	NN
”	''
while	IN
he	PRP
napped	VBD
in	IN
his	PRP$
chair	NN
;	:
then	RB
he	PRP
would	MD
have	VB
him	PRP
awakened	VBN
at	IN
the	DT
right	JJ
time	NN
and	CC
hurried	VBD
away	RB
to	IN
school	NN
.	.
in	IN
the	DT
fulness	NN
of	IN
time	NN
the	DT
interesting	JJ
occasion	NN
arrived	VBD
.	.
at	IN
eight	CD
in	IN
the	DT
evening	NN
the	DT
schoolhouse	NN
was	VBD
brilliantly	RB
lighted	VBN
,	,
and	CC
adorned	VBN
with	IN
wreaths	NNS
and	CC
festoons	NNS
of	IN
foliage	NN
and	CC
flowers	NNS
.	.
the	DT
master	NN
sat	VBD
throned	VBN
in	IN
his	PRP$
great	JJ
chair	NN
upon	IN
a	DT
raised	VBN
platform	NN
,	,
with	IN
his	PRP$
blackboard	NN
behind	IN
him	PRP
.	.
the	DT
exercises	NNS
began	VBD
.	.
a	DT
very	RB
little	JJ
boy	NN
stood	VBD
up	RP
and	CC
sheepishly	RB
recited	VBD
,	,
“	``
youhad	PRP
or	CC
would	MD
scarce	RB
expect	VB
one	PRP
of	IN
my	PRP$
age	NN
to	TO
speak	VB
in	IN
public	NN
on	IN
the	DT
stage	NN
,	,
”	''
etc	FW
.	FW
accompanying	VBG
himself	PRP
with	IN
the	DT
painfully	RB
exact	JJ
and	CC
spasmodic	JJ
gestures	NNS
which	WDT
a	DT
machine	NN
might	MD
have	VB
used	VBN
supposing	VBG
the	DT
machine	NN
to	TO
be	VB
a	DT
trifle	NN
out	IN
of	IN
order	NN
.	.
but	CC
he	PRP
got	VBD
through	RB
safely	RB
,	,
though	IN
cruelly	RB
scared	JJ
,	,
and	CC
got	VBD
a	DT
fine	JJ
round	NN
of	IN
applause	NN
when	WRB
he	PRP
made	VBD
his	PRP$
manufactured	JJ
bow	NN
and	CC
retired	VBD
.	.
a	DT
little	JJ
shamefaced	JJ
girl	NN
lisped	VBD
,	,
“	``
mary	NNP
had	VBD
a	DT
little	JJ
lamb	NN
,	,
”	''
etc	FW
.	FW
,	,
performed	VBD
a	DT
compassion	NN
-	HYPH
inspiring	VBG
curtsy	NN
,	,
got	VBD
her	PRP
meed	VBN
of	IN
applause	NN
,	,
and	CC
sat	VBD
down	RB
flushed	JJ
and	CC
happy	JJ
.	.
tom	NNP
sawyer	NNP
stepped	VBD
forward	RB
with	IN
conceited	JJ
confidence	NN
and	CC
soared	VBD
into	IN
the	DT
unquenchable	JJ
and	CC
indestructible	JJ
“	``
give	VB
me	PRP
liberty	NN
or	CC
give	VB
me	PRP
death	NN
”	''
speech	NN
,	,
with	IN
fine	JJ
fury	NN
and	CC
frantic	JJ
gesticulation	NN
,	,
and	CC
broke	VBD
down	RP
in	IN
the	DT
middle	NN
of	IN
it	PRP
.	.
a	DT
ghastly	JJ
stage	NN
-	HYPH
fright	NN
seized	VBD
him	PRP
,	,
his	PRP$
legs	NNS
quaked	VBD
under	IN
him	PRP
and	CC
he	PRP
was	VBD
like	IN
to	TO
choke	VB
.	.
true	JJ
,	,
he	PRP
had	VBD
the	DT
manifest	JJ
sympathy	NN
of	IN
the	DT
house	NN
but	CC
he	PRP
had	VBD
the	DT
house	NN
's	POS
silence	NN
,	,
too	RB
,	,
which	WDT
was	VBD
even	RB
worse	JJR
than	IN
its	PRP$
sympathy	NN
.	.
the	DT
master	NN
frowned	VBD
,	,
and	CC
this	DT
completed	VBD
the	DT
disaster	NN
.	.
tom	NNP
struggled	VBD
awhile	RB
and	CC
then	RB
retired	VBD
,	,
utterly	RB
defeated	JJ
.	.
there	EX
was	VBD
a	DT
weak	JJ
attempt	NN
at	IN
applause	NN
,	,
but	CC
it	PRP
died	VBD
early	RB
.	.
“	``
the	DT
boy	NN
stood	VBD
on	IN
the	DT
burning	VBG
deck	NN
”	''
followed	VBD
;	:
also	RB
“	``
the	DT
assyrian	NN
came	VBD
down	RB
,	,
”	''
and	CC
other	JJ
declamatory	JJ
gems	NNS
.	.
then	RB
there	EX
were	VBD
reading	NN
exercises	NNS
,	,
and	CC
a	DT
spelling	NN
fight	NN
.	.
the	DT
meagre	JJ
latin	NNP
class	NN
recited	VBD
with	IN
honor	NN
.	.
the	DT
prime	JJ
feature	NN
of	IN
the	DT
evening	NN
was	VBD
in	IN
order	NN
,	,
now	RB
original	JJ
“	``
compositions	NNS
”	''
by	IN
the	DT
young	JJ
ladies	NNS
.	.
each	DT
in	IN
her	PRP$
turn	NN
stepped	VBD
forward	RB
to	IN
the	DT
edge	NN
of	IN
the	DT
platform	NN
,	,
cleared	VBD
her	PRP$
throat	NN
,	,
held	VBD
up	RP
her	PRP$
manuscript	NN
(	-LRB-
tied	VBN
with	IN
dainty	JJ
ribbon	NN
)	-RRB-
,	,
and	CC
proceeded	VBD
to	TO
read	VB
,	,
with	IN
labored	JJ
attention	NN
to	IN
“	``
expression	NN
”	''
and	CC
punctuation	NN
.	.
the	DT
themes	NNS
were	VBD
the	DT
same	JJ
that	WDT
had	VBD
been	VBN
illuminated	VBN
upon	IN
similar	JJ
occasions	NNS
by	IN
their	PRP$
mothers	NNS
before	IN
them	PRP
,	,
their	PRP$
grandmothers	NNS
,	,
and	CC
doubtless	RB
all	DT
their	PRP$
ancestors	NNS
in	IN
the	DT
female	JJ
line	NN
clear	RB
back	RB
to	IN
the	DT
crusades	NNS
.	.
“	``
friendship	NN
”	''
was	VBD
one	CD
;	:
“	``
memories	NNS
of	IN
other	JJ
days	NNS
”	''
;	:
“	``
religion	NN
in	IN
history	NN
”	''
;	:
“	``
dream	NN
land	NN
”	''
;	:
“	``
the	DT
advantages	NNS
of	IN
culture	NN
”	''
;	:
“	``
forms	NNS
of	IN
political	JJ
government	NN
compared	VBN
and	CC
contrasted	VBN
”	''
;	:
“	``
melancholy	NN
”	''
;	:
“	``
filial	JJ
love	NN
”	''
;	:
“	``
heart	NN
longings	NNS
,	,
”	''
etc	FW
.	FW
,	,
etc	FW
.	FW
let	VB
us	PRP
return	VB
to	IN
the	DT
“	``
examination	NN
.	.
”	''
the	DT
first	JJ
composition	NN
that	WDT
was	VBD
read	VBN
was	VBD
one	CD
entitled	VBN
“	``
is	VBZ
this	DT
,	,
then	RB
,	,
life	NN
?	.
”	''
perhaps	RB
the	DT
reader	NN
can	MD
endure	VB
an	DT
extract	NN
from	IN
it	PRP
“	``
in	IN
the	DT
common	JJ
walks	NNS
of	IN
life	NN
,	,
with	IN
what	WDT
delightful	JJ
emotions	NNS
does	VBZ
the	DT
youthful	JJ
mind	NN
look	VB
forward	RB
to	IN
some	DT
anticipated	VBN
scene	NN
of	IN
festivity	NN
!	.
imagination	NN
is	VBZ
busy	JJ
sketching	VBG
rose	NN
-	HYPH
tinted	JJ
pictures	NNS
of	IN
joy	NN
.	.
in	IN
fancy	NN
,	,
the	DT
voluptuous	JJ
votary	NN
of	IN
fashion	NN
sees	VBZ
herself	PRP
amid	IN
the	DT
festive	JJ
throng	NN
,	,
'	``
the	DT
observed	VBN
of	IN
all	DT
observers	NNS
.	.
'	''
her	PRP$
graceful	JJ
form	NN
,	,
arrayed	VBN
in	IN
snowy	JJ
robes	NNS
,	,
is	VBZ
whirling	VBG
through	IN
the	DT
mazes	NNS
of	IN
the	DT
joyous	JJ
dance	NN
;	:
her	PRP$
eye	NN
is	VBZ
brightest	JJS
,	,
her	PRP$
step	NN
is	VBZ
lightest	JJS
in	IN
the	DT
