yes	UH
!	.
he	PRP
might	MD
do	VB
that	DT
;	:
so	RB
when	WRB
he	PRP
had	VBD
got	VBN
to	IN
the	DT
top	NN
he	PRP
saw	VBD
a	DT
light	NN
shining	VBG
from	IN
the	DT
north	NN
.	.
so	RB
he	PRP
ran	VBD
down	RB
and	CC
told	VBD
his	PRP$
mother	NN
.	.
"	``
we	PRP
must	MD
get	VB
on	RP
,	,
mother	NN
;	:
we	PRP
are	VBP
near	IN
a	DT
house	NN
,	,
for	IN
i	PRP
see	VBP
a	DT
bright	JJ
light	NN
shining	VBG
quite	RB
close	RB
to	IN
us	PRP
in	IN
the	DT
north	NN
.	.
"	''
then	RB
she	PRP
rose	VBD
and	CC
shouldered	VBD
her	PRP$
bag	NN
,	,
and	CC
set	VBD
off	RP
to	TO
see	VB
;	:
but	CC
they	PRP
had	VBD
n't	RB
gone	VBN
far	RB
,	,
before	IN
there	EX
stood	VBD
a	DT
steep	JJ
spur	NN
of	IN
the	DT
hill	NN
,	,
right	RB
across	IN
their	PRP$
path	NN
.	.
"	``
just	RB
as	IN
i	PRP
thought	VBD
!	.
"	''
said	VBD
the	DT
old	JJ
dame	NN
,	,
"	``
now	RB
we	PRP
ca	MD
n't	RB
go	VB
a	DT
step	NN
farther	RBR
;	:
a	DT
pretty	JJ
bed	NN
we	PRP
shall	MD
have	VB
here	RB
!	.
"	''
but	CC
the	DT
lad	NN
took	VBD
the	DT
bag	NN
under	IN
one	CD
arm	NN
,	,
and	CC
his	PRP$
mother	NN
under	IN
the	DT
other	JJ
,	,
and	CC
ran	VBD
straight	RB
up	IN
the	DT
steep	JJ
crag	NN
with	IN
them	PRP
.	.
"	``
now	RB
,	,
do	VBP
n't	RB
you	PRP
see	VB
?	.
do	VBP
n't	RB
you	PRP
see	VB
that	IN
we	PRP
are	VBP
close	JJ
to	IN
a	DT
house	NN
?	.
do	VBP
n't	RB
you	PRP
see	VB
that	DT
bright	JJ
light	NN
?	.
"	''
but	CC
the	DT
old	JJ
dame	NN
said	VBD
those	DT
were	VBD
no	DT
christian	JJ
folk	NN
,	,
but	CC
trolls	NNS
,	,
for	IN
she	PRP
was	VBD
at	IN
home	NN
in	IN
all	PDT
that	DT
forest	NN
far	RB
and	CC
near	RB
,	,
and	CC
knew	VBD
there	EX
was	VBD
not	RB
a	DT
living	VBG
soul	NN
in	IN
it	PRP
,	,
until	IN
you	PRP
were	VBD
well	RB
over	IN
the	DT
ridge	NN
and	CC
had	VBD
come	VBN
down	RP
on	IN
the	DT
other	JJ
side	NN
.	.
but	CC
they	PRP
went	VBD
on	RB
,	,
and	CC
in	IN
a	DT
little	JJ
while	NN
they	PRP
came	VBD
to	IN
a	DT
great	JJ
house	NN
which	WDT
was	VBD
all	DT
painted	VBN
red	JJ
.	.
"	``
what	WP
's	VBZ
the	DT
good	JJ
?	.
"	''
said	VBD
the	DT
old	JJ
dame	NN
.	.
"	``
we	PRP
dare	VBP
n't	RB
go	VB
in	RB
,	,
for	IN
here	RB
the	DT
trolls	NNS
live	VBP
.	.
"	``
"	``
do	VBP
n't	RB
say	VB
so	RB
;	:
we	PRP
must	MD
go	VB
in	RB
.	.
there	EX
must	MD
be	VB
men	NNS
where	WRB
the	DT
lights	NNS
shine	VBP
so	RB
,	,
"	''
said	VBD
the	DT
lad	NN
.	.
so	RB
in	RB
he	PRP
went	VBD
,	,
and	CC
his	PRP$
mother	NN
after	IN
him	PRP
,	,
but	CC
he	PRP
had	VBD
scarce	RB
opened	VBN
the	DT
door	NN
before	IN
she	PRP
swooned	VBD
away	RB
,	,
for	CC
there	RB
she	PRP
saw	VBD
a	DT
great	JJ
stout	JJ
man	NN
,	,
at	IN
least	JJS
twenty	CD
feet	NNS
high	JJ
,	,
sitting	VBG
on	IN
the	DT
bench	NN
.	.
"	``
good	JJ
evening	NN
,	,
grandfather	NN
!	.
"	''
said	VBD
the	DT
lad	NN
.	.
"	``
well	UH
,	,
here	RB
ihave	PRP
sat	VBN
three	CD
hundred	CD
years	NNS
,	,
"	''
said	VBD
the	DT
man	NN
who	WP
sat	VBD
on	IN
the	DT
bench	NN
,	,
"	``
and	CC
no	DT
one	NN
has	VBZ
ever	RB
come	VBN
and	CC
called	VBD
me	PRP
grandfather	NN
before	RB
.	.
"	``
then	RB
the	DT
lad	NN
sat	VBD
down	RP
by	IN
the	DT
man	NN
's	POS
side	NN
,	,
and	CC
began	VBD
to	TO
talk	VB
to	IN
him	PRP
as	IN
if	IN
they	PRP
had	VBD
been	VBN
old	JJ
friends	NNS
.	.
"	``
but	CC
what	WP
's	VBZ
come	VBN
over	IN
your	PRP$
mother	NN
?	.
"	''
said	VBD
the	DT
man	NN
,	,
after	IN
they	PRP
had	VBD
chatted	VBN
a	DT
while	NN
.	.
"	``
i	PRP
think	VBP
she	PRP
swooned	VBD
away	RB
;	:
you	PRP
had	VBD
better	RBR
look	VB
after	IN
her	PRP
.	.
"	''
so	RB
the	DT
lad	NN
went	VBD
and	CC
took	VBD
hold	NN
of	IN
the	DT
old	JJ
dame	NN
,	,
and	CC
dragged	VBD
her	PRP
up	IN
the	DT
hall	NN
along	IN
the	DT
floor	NN
.	.
that	DT
brought	VBD
her	PRP
to	IN
herself	PRP
,	,
and	CC
she	PRP
kicked	VBD
and	CC
scratched	VB
,	,
and	CC
flung	VBD
herself	PRP
about	RB
,	,
and	CC
at	IN
last	RB
sat	VBD
down	RP
upon	IN
a	DT
heap	NN
of	IN
firewood	NN
in	IN
the	DT
corner	NN
;	:
but	CC
she	PRP
was	VBD
so	RB
frightened	JJ
that	IN
she	PRP
scarce	RB
dared	VBD
to	TO
look	VB
one	PRP
in	IN
the	DT
face	NN
.	.
after	IN
a	DT
while	NN
,	,
the	DT
lad	NN
asked	VBD
if	IN
they	PRP
could	MD
spend	VB
the	DT
night	NN
there	RB
.	.
"	``
yes	UH
,	,
to	TO
be	VB
sure	JJ
,	,
"	''
said	VBD
the	DT
man	NN
.	.
so	RB
they	PRP
went	VBD
on	RP
talking	VBG
again	RB
,	,
but	CC
the	DT
lad	NN
soon	RB
got	VBD
hungry	JJ
,	,
and	CC
wanted	VBD
to	TO
know	VB
if	IN
they	PRP
could	MD
get	VB
food	NN
as	RB
well	RB
as	IN
lodging	NN
.	.
"	``
of	RB
course	RB
,	,
"	''
said	VBD
the	DT
man	NN
,	,
"	``
that	DT
might	MD
be	VB
got	VBN
too	RB
.	.
"	''
and	CC
after	IN
he	PRP
had	VBD
sat	VBN
a	DT
while	NN
longer	RBR
,	,
he	PRP
rose	VBD
up	RP
and	CC
threw	VBD
six	CD
loads	NNS
of	IN
dry	JJ
pitch	NN
-	HYPH
pine	NN
on	IN
the	DT
fire	NN
.	.
this	DT
made	VBD
the	DT
old	JJ
hag	NN
still	RB
more	RBR
afraid	JJ
.	.
"	``
oh	UH
!	.
now	RB
he	PRP
's	VBZ
going	VBG
to	TO
roast	VB
us	PRP
alive	JJ
,	,
"	''
she	PRP
said	VBD
,	,
in	IN
the	DT
corner	NN
where	WRB
she	PRP
sat	VBD
.	.
and	CC
when	WRB
the	DT
wood	NN
had	VBD
burned	VBN
down	RP
to	IN
glowing	VBG
embers	NNS
,	,
up	RB
got	VBD
the	DT
man	NN
and	CC
strode	VBD
out	IN
of	IN
his	PRP$
house	NN
.	.
"	``
heaven	NNP
bless	VB
and	CC
help	VB
us	PRP
!	.
what	WP
a	DT
stout	JJ
heart	NN
you	PRP
have	VBP
got	VBD
!	.
"	''
said	VBD
the	DT
old	JJ
dame	NN
.	.
"	``
do	VBP
n't	RB
you	PRP
see	VB
we	PRP
have	VBP
got	VBN
amongst	IN
trolls	NNS
?	.
"	``
"	``
stuff	NN
and	CC
nonsense	NN
!	.
"	''
said	VBD
the	DT
lad	NN
;	:
