there	EX
was	VBD
an	DT
old	JJ
feud	NN
between	IN
u	NNP
hynroh	NNP
and	CC
ka	NNP
sngi	NNP
because	IN
she	PRP
refused	VBD
to	TO
pay	VB
him	PRP
tribute	NN
,	,
and	CC
when	WRB
he	PRP
learned	VBD
that	IN
she	PRP
had	VBD
wilfully	RB
destroyed	VBN
the	DT
magic	JJ
skin	NN
in	IN
which	WDT
he	PRP
had	VBD
wrapped	VBN
the	DT
maiden	NN
,	,
his	PRP$
anger	NN
was	VBD
kindled	VBN
against	IN
ka	NNP
sngi	NNP
,	,
and	CC
he	PRP
climbed	VBD
up	IN
to	IN
the	DT
blue	JJ
realm	NN
to	TO
devour	VB
her	PRP
.	.
she	PRP
bravely	RB
withstood	VBD
him	PRP
,	,
and	CC
a	DT
fierce	JJ
struggle	NN
ensued	VBD
which	WDT
was	VBD
witnessed	VBN
by	IN
the	DT
whole	JJ
universe	NN
.	.
when	WRB
mankind	NN
saw	VBD
the	DT
conflict	NN
they	PRP
became	VBD
silent	JJ
,	,
subdued	VBN
with	IN
apprehension	NN
lest	IN
the	DT
cruel	JJ
monster	NN
should	MD
conquer	VB
their	PRP$
benefactress	NN
.	.
they	PRP
uttered	VBD
loud	JJ
cries	NNS
and	CC
began	VBD
to	TO
beat	VB
mournfully	RB
on	IN
their	PRP$
drums	NNS
till	IN
the	DT
world	NN
was	VBD
full	JJ
of	IN
sound	NN
and	CC
clamour	NN
.	.
like	IN
all	DT
bullies	NNS
,	,
u	NNP
hynroh	NNP
was	VBD
a	DT
real	JJ
coward	NN
at	IN
heart	NN
,	,
and	CC
when	WRB
he	PRP
heard	VBD
the	DT
noise	NN
of	IN
drums	NNS
and	CC
shouting	NN
on	IN
the	DT
earth	NN
,	,
his	PRP$
heart	NN
melted	VBD
within	IN
him	PRP
with	IN
fear	NN
,	,
for	IN
he	PRP
thought	VBD
it	PRP
was	VBD
the	DT
tramp	NN
of	IN
an	DT
advancing	VBG
army	NN
coming	VBG
to	TO
give	VB
him	PRP
battle	NN
.	.
he	PRP
quickly	RB
released	VBD
his	PRP$
hold	NN
upon	IN
ka	NNP
sngi	NNP
and	CC
retreated	VBD
with	IN
all	DT
speed	NN
from	IN
the	DT
blue	JJ
realm	NN
.	.
thus	RB
mankind	NN
were	VBD
the	DT
unconscious	JJ
deliverers	NNS
of	IN
their	PRP$
noble	JJ
benefactress	NN
from	IN
the	DT
hand	NN
of	IN
her	PRP$
cruel	JJ
oppressor	NN
.	.
ii	CD
the	DT
legend	NN
of	IN
mount	NNP
sophet	NNP
bneng	NNP
sophet	NNP
bneng	NNP
is	VBZ
a	DT
bare	JJ
dome	NN
-	HYPH
like	JJ
hill	NN
,	,
about	IN
thirteen	CD
miles	NNS
to	IN
the	DT
north	NN
of	IN
shillong	NNP
,	,
and	CC
not	RB
far	RB
from	IN
the	DT
shillong	NNP
-	HYPH
gauhati	NNP
highroad	NN
to	IN
the	DT
east	NN
,	,
from	IN
which	WDT
it	PRP
is	VBZ
plainly	RB
visible	JJ
.	.
its	PRP$
name	NN
signifies	VBZ
the	DT
centre	NN
of	IN
heaven	NNP
.	.
