there	EX
was	VBD
a	DT
howl	NN
and	CC
a	DT
thud	NN
,	,
and	CC
john	NNP
resumed	VBD
his	PRP$
stroll	NN
.	.
the	DT
first	JJ
gun	NN
from	IN
fort	NNP
sumter	NNP
had	VBD
been	VBN
fired	VBN
.	.
early	RB
next	JJ
morning	NN
a	DT
window	NN
at	IN
the	DT
rear	NN
of	IN
the	DT
palace	NN
was	VBD
broken	VBN
by	IN
a	DT
stone	NN
,	,
and	CC
toward	IN
noon	NN
one	CD
of	IN
the	DT
soldiers	NNS
on	IN
guard	NN
in	IN
front	NN
of	IN
the	DT
casino	NN
was	VBD
narrowly	RB
missed	VBN
by	IN
an	DT
anonymous	JJ
orange	NN
.	.
for	IN
mervo	NNP
this	DT
was	VBD
practically	RB
equivalent	JJ
to	IN
the	DT
attack	NN
on	IN
the	DT
bastille	NN
,	,
and	CC
john	NNP
,	,
when	WRB
the	DT
report	NN
of	IN
the	DT
atrocities	NNS
was	VBD
brought	VBN
to	IN
him	PRP
,	,
became	VBD
hopeful	JJ
.	.
but	CC
the	DT
effort	NN
seemed	VBD
temporarily	RB
to	TO
have	VB
exhausted	VBN
the	DT
fury	NN
of	IN
the	DT
mob	NN
.	.
the	DT
rest	NN
of	IN
that	DT
day	NN
and	CC
the	DT
whole	NN
of	IN
the	DT
next	JJ
passed	VBD
without	IN
sensation	NN
.	.
after	IN
breakfast	NN
on	IN
the	DT
following	VBG
morning	NN
mr	NNP
.	NNP
crump	NNP
paid	VBD
a	DT
visit	NN
to	IN
the	DT
palace	NN
.	.
john	NNP
was	VBD
glad	JJ
to	TO
see	VB
him	PRP
.	.
the	DT
staff	NN
of	IN
the	DT
palace	NN
were	VBD
loyal	JJ
,	,
but	CC
considered	VBN
as	IN
cheery	JJ
companions	NNS
,	,
they	PRP
were	VBD
handicapped	VBN
by	IN
the	DT
fact	NN
that	IN
they	PRP
spoke	VBD
no	DT
english	NNP
,	,
while	IN
john	NNP
spoke	VBD
no	DT
french	NNP
.	.
mr	NNP
.	NNP
crump	NNP
was	VBD
the	DT
bearer	NN
of	IN
another	DT
note	NN
from	IN
mr	NNP
.	NNP
scobell	NNP
.	.
this	DT
time	NN
john	NNP
tore	VBD
it	PRP
up	RP
unread	JJ
,	,
and	CC
,	,
turning	VBG
to	IN
the	DT
secretary	NN
,	,
invited	VBD
him	PRP
to	TO
sit	VB
down	RP
and	CC
make	VB
himself	PRP
at	IN
home	NN
.	.
sipping	VBG
a	DT
cocktail	NN
and	CC
smoking	VBG
one	CD
of	IN
john	NNP
's	POS
cigars	NNS
,	,
mr	NNP
.	NNP
crump	NNP
became	VBD
confidential	JJ
.	.
"	``
this	DT
is	VBZ
a	DT
queer	JJ
business	NN
,	,
"	''
he	PRP
said	VBD
.	.
"	``
old	JJ
ben	NNP
is	VBZ
chewing	VBG
pieces	NNS
out	IN
of	IN
the	DT
furniture	NN
up	RB
there	RB
.	.
he	PRP
's	VBZ
mad	JJ
clean	RB
through	RB
.	.
he	PRP
's	VBZ
losing	VBG
money	NN
all	PDT
the	DT
while	NN
the	DT
people	NNS
are	VBP
making	VBG
up	RP
their	PRP$
minds	NNS
about	IN
this	DT
thing	NN
,	,
and	CC
it	PRP
beats	VBZ
him	PRP
why	WRB
theyare	PRP
so	RB
slow	RB
.	.
"	``
"	``
it	PRP
beats	VBZ
me	PRP
,	,
too	RB
.	.
i	PRP
do	VBP
n't	RB
believe	VB
these	DT
hook	NN
-	HYPH
worm	NN
victims	NNS
ever	RB
turned	VBD
my	PRP$
father	NN
out	RP
.	.
or	CC
,	,
if	IN
they	PRP
did	VBD
,	,
somebody	NN
must	MD
have	VB
injected	VBN
radium	NN
into	IN
them	PRP
first	RB
.	.
iwill	PRP
give	VB
them	PRP
another	DT
couple	NN
of	IN
days	NNS
,	,
and	CC
,	,
if	IN
they	PRP
have	VBP
n't	RB
fixed	VBN
it	PRP
by	IN
then	RB
,	,
iwill	PRP
go	VB
,	,
and	CC
leave	VB
them	PRP
to	TO
do	VB
what	WP
they	PRP
like	VBP
about	IN
it	PRP
.	.
"	``
"	``
go	VB
!	.
do	VBP
you	PRP
want	VB
to	TO
go	VB
?	.
"	''
"	``
of	RB
course	RB
i	PRP
want	VBP
to	TO
go	VB
!	.
do	VBP
you	PRP
think	VB
i	PRP
like	VBP
stringing	VBG
along	RP
in	IN
this	DT
musical	JJ
comedy	NN
island	NNP
?	.
iam	PRP
crazy	JJ
to	TO
get	VB
back	RB
to	IN
america	NNP
.	.
i	PRP
do	VBP
n't	RB
blame	VB
you	PRP
,	,
crump	NN
,	,
because	IN
it	PRP
was	VBD
not	RB
your	PRP$
fault	NN
,	,
but	CC
,	,
by	IN
george	NNP
!	.
if	IN
i	PRP
had	VBD
known	VBN
what	WP
you	PRP
were	VBD
letting	VBG
me	PRP
in	RP
for	IN
when	WRB
you	PRP
carried	VBD
me	PRP
off	RP
here	RB
,	,
ihad	PRP
or	CC
would	MD
have	VB
called	VBN
up	RP
the	DT
police	NNP
reserves	NNPS
.	.
hello	UH
!	.
what	WP
's	VBZ
this	DT
?	.
"	''
he	PRP
rose	VBD
to	IN
his	PRP$
feet	NNS
as	IN
the	DT
sound	NN
of	IN
agitated	JJ
voices	NNS
came	VBD
from	IN
the	DT
other	JJ
side	NN
of	IN
the	DT
door	NN
.	.
the	DT
next	JJ
moment	NN
it	PRP
flew	VBD
open	RB
,	,
revealing	VBG
general	NNP
poineau	NNP
and	CC
an	DT
assorted	JJ
group	NN
of	IN
footmen	NNS
and	CC
other	JJ
domestics	NNS
.	.
excitement	NN
seemed	VBD
to	TO
be	VB
in	IN
the	DT
air	NN
.	.
general	NNP
poineau	NNP
rushed	VBD
forward	RB
into	IN
the	DT
room	NN
,	,
and	CC
flung	VBD
his	PRP$
arms	NNS
above	IN
his	PRP$
head	NN
.	.
then	RB
he	PRP
dropped	VBD
them	PRP
to	IN
his	PRP$
side	NN
,	,
and	CC
shrugged	VBD
his	PRP$
shoulders	NNS
,	,
finishing	VBG
in	IN
an	DT
attitude	NN
reminiscent	JJ
of	IN
plate	NN
6	CD
(	-LRB-
"	``
despair	NN
"	''
)	-RRB-
in	IN
"	``
the	DT
home	NNP
reciter	NNP
.	.
"	''
"	``
mon	UH
prince	NN
!	.
"	''
he	PRP
moaned	VBD
.	.
a	DT
perfect	JJ
avalanche	NN
of	IN
french	NNP
