how	WRB
then	RB
?	.
the	DT
baleen	NN
,	,
hump	NN
,	,
back	NN
-	HYPH
fin	NN
,	,
and	CC
teeth	NNS
;	:
these	DT
are	VBP
things	NNS
whose	WP$
peculiarities	NNS
are	VBP
indiscriminately	RB
dispersed	VBN
among	IN
all	DT
sorts	NNS
of	IN
whales	NNS
,	,
without	IN
any	DT
regard	NN
to	IN
what	WP
may	MD
be	VB
the	DT
nature	NN
of	IN
their	PRP$
structure	NN
in	IN
other	JJ
and	CC
more	RBR
essential	JJ
particulars	NNS
.	.
thus	RB
,	,
the	DT
sperm	NN
whale	NN
and	CC
the	DT
humpbacked	JJ
whale	NN
,	,
each	DT
has	VBZ
a	DT
hump	NN
;	:
but	CC
there	RB
the	DT
similitude	NN
ceases	VBZ
.	.
then	RB
,	,
this	DT
same	JJ
humpbacked	JJ
whale	NN
and	CC
the	DT
greenland	NN
whale	NN
,	,
each	DT
of	IN
these	DT
has	VBZ
baleen	NN
;	:
but	CC
there	RB
again	RB
the	DT
similitude	NN
ceases	VBZ
.	.
and	CC
it	PRP
is	VBZ
just	RB
the	DT
same	JJ
with	IN
the	DT
other	JJ
parts	NNS
above	RB
mentioned	VBN
.	.
in	IN
various	JJ
sorts	NNS
of	IN
whales	NNS
,	,
they	PRP
form	VBP
such	JJ
irregular	JJ
combinations	NNS
;	:
or	CC
,	,
in	IN
the	DT
case	NN
of	IN
any	DT
one	CD
of	IN
them	PRP
detached	VBN
,	,
such	PDT
an	DT
irregular	JJ
isolation	NN
;	:
as	IN
utterly	RB
to	TO
defy	VB
all	DT
general	JJ
methodization	NN
formed	VBN
upon	IN
such	PDT
a	DT
basis	NN
.	.
on	IN
this	DT
rock	NN
every	DT
one	CD
of	IN
the	DT
whale	NN
-	HYPH
naturalists	NNS
has	VBZ
split	VBN
.	.
and	CC
this	DT
is	VBZ
the	DT
bibliographical	JJ
system	NN
here	RB
adopted	VBN
;	:
and	CC
it	PRP
is	VBZ
the	DT
only	JJ
one	CD
that	WDT
can	MD
possibly	RB
succeed	VB
,	,
for	IN
it	PRP
alone	RB
is	VBZ
practicable	JJ
.	.
to	TO
