“	``
with	IN
your	PRP$
flying	VBG
into	IN
the	DT
face	NN
of	IN
your	PRP$
own	JJ
wittles	NNS
and	CC
drink	NN
!	.
i	PRP
do	VBP
n't	RB
know	VB
how	WRB
scarce	JJ
you	PRP
may	MD
n't	RB
make	VB
the	DT
wittles	NNS
and	CC
drink	NN
here	RB
,	,
by	IN
your	PRP$
flopping	VBG
tricks	NNS
and	CC
your	PRP$
unfeeling	JJ
conduct	NN
.	.
look	VB
at	IN
your	PRP$
boy	NN
he	PRP
is	VBZ
your'n	PRP$
,	,
ai	VBP
n't	RB
he	PRP
?	.
he	PRP
's	VBZ
as	RB
thin	JJ
as	IN
a	DT
lath	NN
.	.
do	VBP
you	PRP
call	VB
yourself	PRP
a	DT
mother	NN
,	,
and	CC
not	RB
know	VB
that	IN
a	DT
mother	NN
's	POS
first	JJ
duty	NN
is	VBZ
to	TO
blow	VB
her	PRP$
boy	NN
out	RP
?	.
”	''
this	DT
touched	VBD
young	JJ
jerry	NNP
on	IN
a	DT
tender	JJ
place	NN
;	:
who	WP
adjured	VBD
his	PRP$
mother	NN
to	TO
perform	VB
her	PRP$
first	JJ
duty	NN
,	,
and	CC
,	,
whatever	WDT
else	RB
she	PRP
did	VBD
or	CC
neglected	VBD
,	,
above	IN
all	DT
things	NNS
to	TO
lay	VB
especial	JJ
stress	NN
on	IN
the	DT
discharge	NN
of	IN
that	DT
maternal	JJ
function	NN
so	RB
affectingly	RB
and	CC
delicately	RB
indicated	VBN
by	IN
his	PRP$
other	JJ
parent	NN
.	.
young	NNP
jerry	NNP
,	,
who	WP
had	VBD
only	RB
made	VBN
a	DT
feint	NN
of	IN
undressing	VBG
when	WRB
he	PRP
went	VBD
to	IN
bed	NN
,	,
was	VBD
not	RB
long	RB
after	IN
his	PRP$
father	NN
.	.
under	IN
cover	NN
of	IN
the	DT
darkness	NN
he	PRP
followed	VBD
out	IN
of	IN
the	DT
room	NN
,	,
followed	VBD
down	IN
the	DT
stairs	NNS
,	,
followed	VBD
down	IN
the	DT
court	NN
,	,
followed	VBD
out	IN
into	IN
the	DT
streets	NNS
.	.
he	PRP
was	VBD
in	IN
no	DT
uneasiness	NN
concerning	VBG
his	PRP$
getting	VBG
into	IN
the	DT
house	NN
again	RB
,	,
for	IN
it	PRP
was	VBD
full	JJ
of	IN
lodgers	NNS
,	,
and	CC
the	DT
door	NN
stood	VBD
ajar	JJ
all	DT
night	NN
.	.
impelled	VBN
by	IN
a	DT
laudable	JJ
ambition	NN
to	TO
study	VB
the	DT
art	NN
and	CC
mystery	NN
of	IN
his	PRP$
father	NN
's	POS
honest	JJ
calling	NN
,	,
young	JJ
jerry	NNP
,	,
keeping	VBG
as	RB
close	RB
to	IN
house	NN
fronts	NNS
,	,
walls	NNS
,	,
and	CC
doorways	NNS
,	,
as	IN
his	PRP$
eyes	NNS
were	VBD
close	JJ
to	IN
one	CD
another	DT
,	,
held	VBD
his	PRP$
honoured	JJ
parent	NN
in	IN
view	NN
.	.
the	DT
honoured	JJ
parent	NN
steering	VBG
northward	RB
,	,
had	VBD
not	RB
gone	VBN
far	RB
,	,
when	WRB
he	PRP
was	VBD
joined	VBN
by	IN
another	DT
disciple	NN
of	IN
izaak	NNP
walton	NNP
,	,
and	CC
the	DT
two	CD
trudged	VBD
on	RP
together	RB
.	.
within	IN
half	PDT
an	DT
hour	NN
from	IN
the	DT
first	JJ
starting	NN
,	,
they	PRP
were	VBD
beyond	IN
the	DT
winking	VBG
lamps	NNS
,	,
and	CC
the	DT
more	RBR
than	IN
winking	VBG
watchmen	NNS
,	,
and	CC
were	VBD
out	RP
upon	IN
a	DT
lonely	JJ
road	NN
.	.
another	DT
fisherman	NN
was	VBD
picked	VBN
up	RP
here	RB
and	CC
that	DT
so	RB
silently	RB
,	,
that	IN
if	IN
young	JJ
jerry	NNP
had	VBD
been	VBN
superstitious	JJ
,	,
he	PRP
might	MD
have	VB
supposed	VBN
the	DT
second	JJ
follower	NN
of	IN
the	DT
gentle	JJ
craft	NN
to	TO
have	VB
,	,
all	DT
of	IN
a	DT
sudden	JJ
,	,
split	VBN
himself	PRP
into	IN
two	CD
.	.
the	DT
three	CD
went	VBD
on	RB
,	,
and	CC
young	JJ
jerry	NNP
went	VBD
on	RB
,	,
until	IN
the	DT
three	CD
stopped	VBD
under	IN
a	DT
bank	NN
overhanging	VBG
the	DT
road	NN
.	.
upon	IN
the	DT
top	NN
of	IN
the	DT
bank	NN
was	VBD
a	DT
low	JJ
brick	NN
wall	NN
,	,
surmounted	VBN
by	IN
an	DT
iron	NN
railing	NN
.	.
in	IN
the	DT
shadow	NN
of	IN
bank	NN
and	CC
wall	NN
the	DT
three	CD
turned	VBD
out	IN
of	IN
the	DT
road	NN
,	,
and	CC
up	IN
a	DT
blind	JJ
lane	NN
,	,
of	IN
which	WDT
the	DT
wall	NN
there	RB
,	,
risen	VBN
to	IN
some	DT
eight	CD
or	CC
ten	CD
feet	NNS
high	JJ
formed	VBD
one	CD
